title,url,price,log_price,brand,cpu_family,ram_gb,storage_gb,outlier_flag
"Chuwi MiniBook X Intel Celeron N150 10.5"" FHD+ Touch Laptop",https://www.startech.com.bd/chuwi-minibook-x-n150-touch-laptop,49500,10.809727948556782,Chuwi,Intel,16,512,FALSE
"Lenovo IdeaPad 1 14IGL7 Intel Celeron N4020 14"" HD Laptop",https://www.startech.com.bd/lenovo-ideapad-1-14igl7-intel-celeron-n4020-laptop,36600,10.507803519389457,Lenovo,Intel,8,512,FALSE
"Lenovo IdeaPad 1 14IGL7 Intel Celeron N4500 14"" HD Laptop",https://www.startech.com.bd/lenovo-ideapad-1-14igl7-laptop,37100,10.521372248595526,Lenovo,Intel,8,512,FALSE
"Chuwi CoreBook X Core i3 12th Gen 14"" 2K QHD Laptop",https://www.startech.com.bd/chuwi-corebook-x-laptop,51900,10.85707406915398,Chuwi,Intel,16,512,FALSE
"Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 15.6"" HD Laptop",https://www.startech.com.bd/lenovo-ideapad-1-15ijl7-laptop,37100,10.521372248595526,Lenovo,Intel,8,512,FALSE
"HP 15-fc0266AU Ryzen 3 7320U 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fc0266au-laptop,51500,10.849337086651827,HP,AMD,8,512,FALSE
"Lenovo IdeaPad 1 15IGL7 Intel Celeron N4020 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-1-15igl7-celeron-n4020-laptop,34599,10.451580058894049,Lenovo,Intel,8,256,FALSE
"Acer Aspire Lite AL15-52 Core i3 12th Gen 16GB RAM 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-lite-al15-52-core-i3-12th-gen-16gb-ram-fhd-laptop,48500,10.789319076925574,Acer,Intel,16,512,FALSE
"Lenovo IdeaPad SLIM 3i Intel Core i3 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-laptop,51500,10.849337086651827,Lenovo,Intel,8,512,FALSE
"ASUS Vivobook Go 15 E1504GA Core i3 N305 512GB SSD 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-go-15-e1504ga-512gb-ssd-laptop,52000,10.858998997563564,ASUS,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 14IRU10 Core 3 100U 14"" WUXGA Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-14iru10-core-3-100u-laptop,59500,10.993731591533722,Lenovo,Intel,8,512,FALSE
"ASUS Vivobook Go 14 E1404GA Core i3-N305 14"" FHD Laptop with Windows 11",https://www.startech.com.bd/asus-vivobook-go-14-e1404ga-core-i3-14-inch-laptop,53000,10.87804719253426,ASUS,Intel,8,512,FALSE
"ASUS Vivobook Go 15 E1504GA Core i3-N305 15.6"" FHD Laptop with Windows 11",https://www.startech.com.bd/asus-vivobook-go-15-e1504ga-core-i3-15-6-inch-laptop,53000,10.87804719253426,ASUS,Intel,8,512,FALSE
"ASUS Vivobook Go 15 E1504GA Core i3-N305 15.6"" FHD Laptop with Backlit Keyboard",https://www.startech.com.bd/asus-vivobook-go-15-e1504ga-core-i3-laptop,54000,10.896739325546411,ASUS,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 14IRU10 Core 3 100U 14"" WUXGA Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-14iru10-core-3-100u-laptop,59500,10.993731591533722,Lenovo,Intel,8,512,FALSE
"ASUS Vivobook Go 15 E1504GA Core i3-N305 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-go-15-e1504ga-core-i3-n305-laptop,52000,10.858998997563564,ASUS,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 15IRU10 Core 3 100U 15.3"" WUXGA Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-15iru10-laptop,59500,10.993731591533722,Lenovo,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 15IAN8 Core i3 N305 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-15ian8-core-i3-n305-laptop,52500,10.868568448579715,Lenovo,Intel,8,512,FALSE
"Smart Flairedge Core i5 12th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/smart-flairedge-core-i5-12th-gen-laptop,48500,10.789319076925574,Smart,Intel,8,512,FALSE
